지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),평균 증기압(hPa),합계 대형증발량(mm)
105,강릉,2017-10-14,13.2,,48.8,7.1,3.8
105,강릉,2017-10-15,14,,61.3,9.7,2.7
105,강릉,2017-10-16,15,,64.3,10.9,2.5
105,강릉,2017-10-17,15.2,,68.1,11.7,2.1
105,강릉,2017-10-18,13.8,2,74.9,11.7,.9
105,강릉,2017-10-19,14.4,.5,73.6,12,1.7
105,강릉,2017-10-20,15.3,,69.8,12,2.8
105,강릉,2017-10-21,15.1,,66.4,11.3,2.9
105,강릉,2017-10-22,14,.2,66.3,10.5,2.2
105,강릉,2017-10-23,12.3,,54.4,7.6,2.7
105,강릉,2017-10-24,11.6,,57,7.6,3.1
105,강릉,2017-10-25,14.5,,50.3,8,3.7
105,강릉,2017-10-26,15.1,,55.1,9.4,1.9
105,강릉,2017-10-27,15.7,,62,11,2.4
105,강릉,2017-10-28,16,,74.1,13.5,2
105,강릉,2017-10-29,13.9,25,66,10.2,2.3
105,강릉,2017-10-30,10.4,0,41,5,3.6
105,강릉,2017-10-31,13.2,,27.1,4.1,4.9
105,강릉,2017-11-01,15.6,,46.3,8.2,2.3
105,강릉,2017-11-02,16.3,,54.3,10,2.2
105,강릉,2017-11-03,13.9,4,67.4,10.6,1.3
105,강릉,2017-11-04,8.8,33,61,6.7,2.6
105,강릉,2017-11-05,12.1,,28.8,4.2,4.3
105,강릉,2017-11-06,15.7,,32.5,5.8,4.5
105,강릉,2017-11-07,17.4,,43.1,8.6,3.8
105,강릉,2017-11-08,17.1,,34.5,6.7,4.1
105,강릉,2017-11-09,11.8,,51.5,7.2,3.1
105,강릉,2017-11-10,14.9,.3,34,5.9,4.1
105,강릉,2017-11-11,7.9,,37.9,4,3
105,강릉,2017-11-12,9.9,,29.9,3.6,3.8
105,강릉,2017-11-13,12.4,,35.5,5.4,3
105,강릉,2017-11-14,10.5,,30.1,3.8,3.9
105,강릉,2017-11-15,5.4,,25.4,2.3,3.5
105,강릉,2017-11-16,4.1,,23.5,1.9,3.1
105,강릉,2017-11-17,7.6,,27.4,2.9,2.1
105,강릉,2017-11-18,2.5,,36.9,2.8,2.2
105,강릉,2017-11-19,1.6,,18.1,1.2,3.4
105,강릉,2017-11-20,3.4,,32.9,2.6,2.8
105,강릉,2017-11-21,5.8,,26.5,2.3,3.6
105,강릉,2017-11-22,7.5,,41.8,4.4,2.1
105,강릉,2017-11-23,2.9,,26.3,2,2.5
105,강릉,2017-11-24,2.1,,35.6,2.5,2.4
105,강릉,2017-11-25,4.8,4,51.4,4.5,2
105,강릉,2017-11-26,5.5,.2,61.4,5.5,1.5
105,강릉,2017-11-27,6.7,,52.6,5.2,2
105,강릉,2017-11-28,11.5,,41,5.5,3.8
105,강릉,2017-11-29,10.6,,34.1,4.4,3.1
105,강릉,2017-11-30,4.5,,16.4,1.4,3.6
105,강릉,2017-12-01,.8,,23,1.5,2.7
105,강릉,2017-12-02,4.4,,31.8,2.7,2.7
105,강릉,2017-12-03,7.5,,49,5.1,2.1
105,강릉,2017-12-04,3.5,,34.6,2.9,3
105,강릉,2017-12-05,-2.3,,22,1.1,2.5
105,강릉,2017-12-06,1.9,0,42.4,2.9,2
105,강릉,2017-12-07,4,,40.1,3.2,2.5
105,강릉,2017-12-08,-.2,,30.4,1.8,2.4
105,강릉,2017-12-09,2.2,,31.3,2.2,2.6
105,강릉,2017-12-10,4.6,0,43.9,3.8,2
105,강릉,2017-12-11,-4.3,,21.1,1,2.4
105,강릉,2017-12-12,-5.7,,21.4,.8,2.5
105,강릉,2017-12-13,-2.7,,19.9,1,2.4
105,강릉,2017-12-14,-.3,,36.9,2.3,1.7
105,강릉,2017-12-15,2.5,,27.4,2,2.3
105,강릉,2017-12-16,-1.8,,27.8,1.5,2.3
105,강릉,2017-12-17,-3.9,,23.6,1.1,2.4
105,강릉,2017-12-18,1.9,,43.5,3.1,1.9
105,강릉,2017-12-19,-.9,,24.4,1.4,2.6
105,강릉,2017-12-20,1,,34.6,2.4,1.9
105,강릉,2017-12-21,3.3,,34.4,2.6,2.8
105,강릉,2017-12-22,5.7,,43.1,4,2.5
105,강릉,2017-12-23,8.9,,38.8,4.4,2.7
105,강릉,2017-12-24,5.4,5.5,65.1,5.7,.8
105,강릉,2017-12-25,.5,,38.8,2.5,2.2
105,강릉,2017-12-26,-.9,,26.8,1.5,2.8
105,강릉,2017-12-27,-2.8,,19.4,1,2.7
105,강릉,2017-12-28,.7,,37.6,2.5,1.7
105,강릉,2017-12-29,4.6,,46.4,3.9,2.2
105,강릉,2017-12-30,5.5,,53.4,4.9,1.6
105,강릉,2017-12-31,3.6,,32,2.6,3
105,강릉,2018-01-01,1.3,,19.8,1.3,3.1
105,강릉,2018-01-02,2.5,,22.4,1.6,2.7
105,강릉,2018-01-03,-.4,,26.1,1.5,2.3
105,강릉,2018-01-04,.1,,44.6,2.9,1.3
105,강릉,2018-01-05,2.2,,35.6,2.5,2.8
105,강릉,2018-01-06,1.8,,29.5,2,2.5
105,강릉,2018-01-07,3.9,,26.6,2.1,1.9
105,강릉,2018-01-08,5.6,,43,3.9,2.1
105,강릉,2018-01-09,-1.5,,32.6,1.8,1.9
105,강릉,2018-01-10,-4.4,,28,1.2,2.3
105,강릉,2018-01-11,-7.7,,29,1,1.9
105,강릉,2018-01-12,-6.6,,24,.9,2.1
105,강릉,2018-01-13,-.7,,35.8,2.1,2
105,강릉,2018-01-14,3.6,,35.6,2.8,2.9
105,강릉,2018-01-15,8.5,,36.1,4,3.1
105,강릉,2018-01-16,7.5,,38.4,3.9,1.7
105,강릉,2018-01-17,5.8,1,66.5,6.1,1.3
105,강릉,2018-01-18,6.2,,31.3,3,2.1
105,강릉,2018-01-19,4.6,,24,2,2.9
105,강릉,2018-01-20,4.1,,40.4,3.3,2.1
105,강릉,2018-01-21,3,,32.6,2.4,2.1
105,강릉,2018-01-22,2.1,1.5,55.8,3.9,1.3
105,강릉,2018-01-23,-7.3,,30.8,1.2,1.8
105,강릉,2018-01-24,-10.6,,20.1,.5,1.9
105,강릉,2018-01-25,-8.9,,22,.7,1.9
105,강릉,2018-01-26,-9.3,,23.1,.7,2
105,강릉,2018-01-27,-3.7,,26.5,1.3,2.5
105,강릉,2018-01-28,-1.4,,19.6,1.1,2.4
105,강릉,2018-01-29,-5.7,,20.6,.8,2.5
105,강릉,2018-01-30,-2.7,,31.8,1.7,2.4
105,강릉,2018-01-31,.7,,32,2,2
105,강릉,2018-02-01,-.9,,39,2.2,2.2
105,강릉,2018-02-02,-.6,,52.3,3.1,1.4
105,강릉,2018-02-03,-3,0,33.8,1.7,2.3
105,강릉,2018-02-04,-6.4,,26.8,1,2
105,강릉,2018-02-05,-6.9,,22.9,.8,2.3
105,강릉,2018-02-06,-7.4,,25.8,.9,2.1
105,강릉,2018-02-07,-4.6,,22,1,2.7
105,강릉,2018-02-08,-.1,,20.5,1.2,2.9
105,강릉,2018-02-09,3.6,,33.9,2.7,2.6
105,강릉,2018-02-10,3.6,,30.9,2.6,3.3
105,강릉,2018-02-11,-4.4,,22.8,1,2.6
105,강릉,2018-02-12,-4.1,,24,1.1,2.5
105,강릉,2018-02-13,.3,,34.5,2.2,3.3
105,강릉,2018-02-14,7.1,,35.1,3.6,3.2
105,강릉,2018-02-15,.9,,48.5,3.1,1.9
105,강릉,2018-02-16,2.4,,27.1,1.7,4.1
105,강릉,2018-02-17,.5,,21.3,1.3,3.3
105,강릉,2018-02-18,1.6,,23.6,1.6,2.4
105,강릉,2018-02-19,4.4,,31.1,2.6,2.5
105,강릉,2018-02-20,4.2,,27.9,2.2,2.8
105,강릉,2018-02-21,.3,,28.1,1.8,2.5
105,강릉,2018-02-22,2.8,,31.9,2.4,3
105,강릉,2018-02-23,6.2,,39.1,3.7,2.9
105,강릉,2018-02-24,1.9,,69.9,4.9,1.2
105,강릉,2018-02-25,2.3,,69.9,5,1.6
105,강릉,2018-02-26,2.6,,61.4,4.5,1.8
105,강릉,2018-02-27,4.3,,66.3,5.5,1.5
105,강릉,2018-02-28,4.7,52,84.4,7.2,.6
105,강릉,2018-03-01,3.3,2,48,3.7,3.6
105,강릉,2018-03-02,3.9,,25.3,2,4.6
105,강릉,2018-03-03,12.8,,24.8,3.9,4.7
105,강릉,2018-03-04,11.8,14,64.9,8.8,1.7
105,강릉,2018-03-05,1,36,81.9,5.4,.7
105,강릉,2018-03-06,2.6,,68.5,5,1.7
105,강릉,2018-03-07,4,2.5,71.3,5.7,1.5
105,강릉,2018-03-08,2,16,87.8,6.2,.7
105,강릉,2018-03-09,1.3,1.5,80.6,5.4,.6
105,강릉,2018-03-10,6.2,,50.4,4.4,3.9
105,강릉,2018-03-11,5.9,,54,4.9,2.5
105,강릉,2018-03-12,10.6,,45.5,5.3,4.8
105,강릉,2018-03-13,16.9,,31.5,6.1,6.3
105,강릉,2018-03-14,19.1,,39.9,8.6,5.3
105,강릉,2018-03-15,13.3,6,65.4,9.8,2.2
105,강릉,2018-03-16,2,1.5,57.1,4.1,1
105,강릉,2018-03-17,6,,50,4.6,2.9
105,강릉,2018-03-18,10.2,,48.1,6,1
105,강릉,2018-03-19,6.9,12,70.9,7.1,1.1
105,강릉,2018-03-20,3.1,,50.1,3.8,1.4
105,강릉,2018-03-21,1.6,2.5,72.4,5,.8
